id,player name,player names
37138918,Afif Hossain,"['Afif Hossain', 'A Hossain']"
cee2fbd8,Habibur Rahman,['Habibur Rahman']
abae26ad,Akbar Ali,['Akbar Ali']
8c7b16c8,Nahidul Islam,['Nahidul Islam']
37654b75,Nasum Ahmed,['Nasum Ahmed']
a699488a,Mukidul Islam,['Mukidul Islam']
5318ee68,Nahid Rana,['Nahid Rana']
a38e7be7,S Daniel,['S Daniel']
e30c9b2d,L Croospulle,['L Croospulle']
6c882e9a,PBB Rajapaksa,"['PBB Rajapaksa', 'B Rajapaksa']"
4663bd23,TL Seifert,"['TL Seifert', 'T Seifert']"
d28f4d1c,SMLD Samarakoon,['SMLD Samarakoon']
a03bba42,T Shamsi,"['T Shamsi', 'Tabraiz Shamsi', 'Shamsi']"
6e3f5a5c,R Ngarava,"['R Ngarava', 'Richard Ngarava', 'Ngarava']"
0bacade8,Rahmanullah Gurbaz,"['Rahmanullah Gurbaz', 'Rahmanullah']"
732c038e,KIC Asalanka,"['KIC Asalanka', 'Charith Asalanka', 'C Asalanka']"
9e52a414,Towhid Hridoy,['Towhid Hridoy']
d67d5f00,DA Miller,"['DA Miller', 'David Miller', 'D Miller']"
5f75a7c5,PARP Perera,['PARP Perera']
736123bb,DN Wellalage,['DN Wellalage']
03a83c50,V Viyaskanth,['V Viyaskanth']
f24c6701,M Theekshana,['M Theekshana']
465aa633,N Burger,['N Burger']
ee1b6c27,N Thushara,['N Thushara']
272d796e,BR Dunk,"['BR Dunk', 'B Dunk', 'Ben Dunk']"
5748e866,TD Paine,"['TD Paine', 'Tim Paine', 'T Paine']"
d2d4bb0a,TR Birt,['TR Birt']
7bf96684,OA Shah,"['OA Shah', 'Owais Shah', 'O Shah']"
8bdac857,JW Wells,"['JW Wells', 'Jonathan Wells']"
1efb8a28,AC Blizzard,"['AC Blizzard', 'A Blizzard']"
b2a79f17,B Laughlin,"['B Laughlin', 'Laughlin', 'Ben Laughlin']"
f3171936,BW Hilfenhaus,"['BW Hilfenhaus', 'Ben Hilfenhaus', 'B Hilfenhaus']"
502b2c81,XJ Doherty,"['XJ Doherty', 'Xavier Doherty', 'X Doherty']"
45c2196c,DE Bollinger,"['DE Bollinger', 'Doug Bollinger', 'D Bollinger']"
508a1ea7,SE Marsh,"['SE Marsh', 'S Marsh', 'Shaun Marsh']"
fdedb37c,SM Katich,"['SM Katich', 'Simon Katich']"
864c199e,AC Voges,"['AC Voges', 'Adam Voges', 'A Voges']"
0095ce38,CJ Simmons,['CJ Simmons']
3d8feaf8,MR Marsh,"['MR Marsh', 'Mitchell Marsh', 'M Marsh']"
ff1e12a0,AJ Turner,"['AJ Turner', 'Ashton Turner', 'A Turner']"
56ab442f,NM Coulter-Nile,"['NM Coulter-Nile', 'N Coulter-Nile', 'Coulter-Nile', 'Nathan Coulter-Nile']"
f4427cc6,SM Whiteman,"['SM Whiteman', 'Sam Whiteman']"
3cf5ae43,Yasir Arafat,"['Yasir Arafat', 'Y Arafat']"
4933f499,JP Behrendorff,"['JP Behrendorff', 'J Behrendorff', 'Behrendorff', 'Jason Behrendorff']"
f708a0bc,GB Hogg,"['GB Hogg', 'Brad Hogg', 'B Hogg']"
d3cefce5,Bismillah Khan,['Bismillah Khan']
39f01cdb,KP Pietersen,"['KP Pietersen', 'Kevin Pietersen', 'K Pietersen']"
3086f7a4,Mohammad Nawaz (3),"['Mohammad Nawaz (3)', 'M Nawaz']"
2254ab79,Sarfraz Ahmed,"['Sarfraz Ahmed', 'Sarfaraz Ahmed', 'S Ahmed']"
eb2d5fe7,Anwar Ali,['Anwar Ali']
5673a3fc,NL McCullum,"['NL McCullum', 'N McCullum']"
3a0f6df2,Zulfiqar Babar,"['Zulfiqar Babar', 'Z Babar']"
5441db8c,Aizaz Cheema,"['Aizaz Cheema', 'A Cheema']"
35205dfc,DR Smith,"['DR Smith', 'Dwayne Smith', 'David Smith']"
b0c772ee,BJ Haddin,"['BJ Haddin', 'Brad Haddin', 'B Haddin']"
5eea345c,Khalid Latif,"['Khalid Latif', 'K Latif']"
0a4736eb,Asif Ali,"['Asif Ali', 'A Ali']"
76388dc8,S Badree,['S Badree']
b8eddbdb,Imran Khalid,"['Imran Khalid', 'I Khalid']"
a8e3170f,Mohammad Irfan,"['Mohammad Irfan', 'M Irfan', 'Muhammad Irfan']"
68ddabdb,Mohammad Sami,"['Mohammad Sami', 'M Sami']"
c562ac6d,Shantanu Mishra,['Shantanu Mishra']
0861a8d6,Rajesh Dhuper,['Rajesh Dhuper']
fb3a1c89,Anurag Sarangi,['Anurag Sarangi']
53f27a35,BB Samantray,"['BB Samantray', 'Biplab Samantaray', 'B Samantray']"
c69a7b5c,AS Raut,"['AS Raut', 'Abhishek Raut']"
78d516fd,Arabind Singh,"['Arabind Singh', 'Aravinda Singh']"
a81e957f,Suryakant Pradhan,['Suryakant Pradhan']
a73f1f24,Rajesh Mohanty,['Rajesh Mohanty']
0c13675e,Subham Nayak,['Subham Nayak']
7b5235a6,Pappu Roy,['Pappu Roy']
9fa1b6cf,Ashutosh Das,['Ashutosh Das']
66b30f71,AB Dinda,"['AB Dinda', 'Ashoke Dinda', 'A Dinda']"
fdf7491e,IC Porel,"['IC Porel', 'Ishan Porel']"
